N,tiempo
100,0.09474722544352214
500,0.10993099212646484
1000,0.16640329360961914
2000,0.28647557894388836
3000,0.37912631034851074
5000,0.6109057267506918
7000,0.8324801127115885
10000,1.159286101659139
